ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
59408;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;;;Roof_Storey;;;;"New_Build,Investment,Projected,Resale";;Default
32794;Rent;Apartment;Multi_Storey;;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
44491;Rent;Agriculture_Forestry;Farm_Ranch;;;;;;;;;;;;;;;;;;;;Default
71658;Rent;Apartment;;;;;;;;;;;;;Kitchen_Fully_Equipped;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
39607;Rent;Apartment;;;3;3;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
46645;"Buy,Buy_Auction,Compulsory_Auction";Parking;"Underground_Garage,Underground_Parking_Space";;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
80982;Rent;Apartment;;;;;;;;;2024;;;;;;;;;New_Build;;;Default
79264;Rent;Apartment;;;;;;;;;;;;;Reduce_Mobility_Access;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;PriceAsc
77465;Rent;Office;"Coworking,Shared_Office,Open_Space";;;;;;;;;;;;;;;;;;;;Default
77399;"Buy,Buy_Auction,Compulsory_Auction";House;"Terrace_House,Corner_Terrace_House,Mid_Terrace_House,End_Terrace_House";;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
49447;Rent;;;Private;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing";;Default
22921;"Buy,Buy_Auction,Compulsory_Auction";Storage_Production;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
40218;Rent;House;;;;;;;;;;;;;;;;;Full;;"New_Build,Stock";;Default
69083;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;1949;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
49002;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Investment,Projected,Resale";;Default
79419;"Buy,Buy_Auction,Compulsory_Auction";Gastronomy_Hotel;Restaurant;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
26122;Rent;Agriculture_Forestry;;;;;;;;;;;;;;;;;;;;;Default
84731;Rent;Storage_Production;Garage_Repair;;;;;;;;;;;;;;;;;;;;Default
35382;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;100000;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
89818;"Buy,Buy_Auction,Compulsory_Auction";Parking;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
18293;"Buy,Buy_Auction";Apartment;;;;;;;;;;;;;;;;;;Investment;;;Default
45430;"Buy,Buy_Auction,Compulsory_Auction";Agriculture_Forestry;Farm_Ranch;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
36327;"Buy,Buy_Auction,Compulsory_Auction";Plot;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
39740;Rent;Gastronomy_Hotel;;;;;;;;;;;;;;;;;;;;;Default
56784;Rent;Apartment;;;1;2;;;;900;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
43649;Rent;Parking;"Outside,Street_Parking,Parking_Area";;;;;;;;;;;;;;;;;;;;Default
78538;"Buy,Buy_Auction,Compulsory_Auction";Gastronomy_Hotel;"Hotel,Apart_Hotel";;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
53765;"Buy,Buy_Auction,Compulsory_Auction";House;Multi_Family_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
61078;Rent;Parking;;;;;;;;;;;;;;;;;;;;;Default
59151;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;1000000;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
92930;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Reduce_Mobility_Access;;;;;;"New_Build,Investment,Projected,Resale";;Default
64472;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;Private;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
36442;"Buy,Buy_Auction,Compulsory_Auction";House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
55706;Rent;Apartment;;;;;;;;;;;;;;;;;Full;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
99360;"Buy,Buy_Auction,Compulsory_Auction";Office;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
81838;Rent;Plot;;;;;;;;;;;;;;;;;;;;;Default
82111;Compulsory_Auction;;;;;;;;;;;;;;;;;;;;Resale;;Default
86226;"Buy,Buy_Auction,Compulsory_Auction";Plot;Leisure_Facility;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
70702;Rent;Apartment;"Loft,Loft_Atelier";;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
63486;Rent;Apartment;;;;;;;;;;;Yes;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
93839;Rent;Apartment;;;1;1;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
28647;Rent;House;"Terrace_House,Corner_Terrace_House,Mid_Terrace_House,End_Terrace_House";;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
34944;Rent;Apartment;;;;;;;;;;;;;;;;;;Flatsharing;;;Default
95880;"Buy,Buy_Auction,Compulsory_Auction";House;Castle;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
20274;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Investment,Projected,Resale";;Default
91750;Rent;Gastronomy_Hotel;Restaurant;;;;;;;;;;;;;;;;;;;;Default
84527;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Cellar;;;;;;"New_Build,Investment,Projected,Resale";;Default
57899;;Agriculture_Forestry;"Hunting,Fishing";;;;;;;;;;;;;;;;;;;;Default
52246;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;300000;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
66159;Rent;Apartment;;;6;6;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
90036;Rent;Apartment;;;2;2;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
15511;Rent;Apartment;;;;;;;0;1000;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
67490;Rent;Apartment;;;;;;;0;800;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
23717;"Buy,Buy_Auction,Compulsory_Auction";Apartment;Terrace;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
15577;"Buy,Buy_Auction,Compulsory_Auction";Trading;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
81234;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;Parking_Garage;;;;;;"New_Build,Investment,Projected,Resale";;Default
68612;"Buy,Buy_Auction,Compulsory_Auction";"House,Apartment";;;;;;;;;;;;;Commission_Free;;;;;;"Investment,Resale";;Default
56945;Rent;Gastronomy_Hotel;Cafe_Bar_Pub;;;;;;;;;;;;;;;;;;;;Default
49225;"Buy,Buy_Auction";House;Multi_Family_House;;;;;;;;;;;;;;;;;Investment;;;Default
65329;"Buy,Buy_Auction,Compulsory_Auction";Storage_Production;Garage_Repair;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
83058;Rent;Apartment;;;;;;;;;;1949;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
52401;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;3;3;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
54083;Rent;Storage_Production;;;;;;;;;;;;;;;;;;;;;Default
30155;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;Garden;;;;;;"New_Build,Investment,Projected,Resale";;Default
91834;"Buy,Buy_Auction,Compulsory_Auction";;;;;;;;;;;;;;;;;;;New_Build;;;Default
48438;Rent;Apartment;;;;;;;;550;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
32554;Rent;Apartment;Penthouse;;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
97217;;;;;;;;;900000;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
97787;Rent;Apartment;;;;;;;;;;;;;;;Groundfloor;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
31816;"Buy,Buy_Auction,Compulsory_Auction";Agriculture_Forestry;Forestry;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
70302;Rent;Plot;Commercial;;;;;;;;;;;;;;;;;;;;Default
12127;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;4;4;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
89820;"Buy,Buy_Auction,Compulsory_Auction";"Storage_Production,Trading,Office,Gastronomy_Hotel,Agriculture_Forestry";;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
37735;Rent;Apartment;;;;;;;0;400;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
99520;Rent;Apartment;;;;;;;;;;;;;;;;;;Swap_Apartment;;;Default
54706;Rent;Gastronomy_Hotel;"Hotel,Apart_Hotel";;;;;;;;;;;;;;;;;;;;Default
24404;"Buy,Buy_Auction,Compulsory_Auction";House;Manor_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
41962;Rent;House;;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
25912;Rent;House;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Stock";;Default
97277;"Buy,Buy_Auction,Compulsory_Auction";House;Multi_Family_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;PriceAsc
37531;"Buy,Buy_Auction,Compulsory_Auction";Parking;;Private;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
39002;"Buy,Buy_Auction,Compulsory_Auction";House;;Private;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
23871;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Commission_Free;;;;;;"New_Build,Investment,Projected,Resale";;Default
17999;Rent;Apartment;;;4;4;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
36247;"Buy,Buy_Auction,Compulsory_Auction";;;Private;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
37314;"Buy,Buy_Auction,Compulsory_Auction";House;Bungalow;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
19486;"Buy,Buy_Auction,Compulsory_Auction";Trading;Store;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
98244;"Buy,Buy_Auction,Compulsory_Auction";House;Semidetached_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
90273;Rent;House;;;;;;;0;900;;;;;;;;;;;"New_Build,Stock";;Default
55202;Rent;House;Bungalow;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
17144;Rent;House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
72262;"Buy,Buy_Auction,Compulsory_Auction";;;;;;;;;;;;;;Garden;;;;;;"New_Build,Investment,Projected,Resale";;Default
27197;Rent;;;;;;;;;;;;;;;;;;;Short_Time_Rental;;;Default
11249;Rent;Trading;;;;;;;;;;;;;;;;;;;;;Default
99431;Rent;Parking;;Private;;;;;;;;;;;;;;;;;;;Default
20364;Rent;Apartment;;;;;;;0;500;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
16206;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;Cellar;;;;;;"New_Build,Investment,Projected,Resale";;Default
62384;Rent;House;;;;;;;;;;;;;Garden;;;;;;"New_Build,Stock";;Default
14952;"Buy,Buy_Auction,Compulsory_Auction";Apartment;Penthouse;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
51690;Rent;House;Town_House;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
47114;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Garden;;;;;;"New_Build,Investment,Projected,Resale";;Default
70930;"Buy,Buy_Auction,Compulsory_Auction";Gastronomy_Hotel;Cafe_Bar_Pub;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
91700;Rent;House;Semidetached_House;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
65710;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;1;1;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
53895;;;;;;;;;;;;;;;;;;;;;;;Default
92072;"Buy,Buy_Auction,Compulsory_Auction";Agriculture_Forestry;Riding;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
32385;"Buy,Buy_Auction,Compulsory_Auction";Gastronomy_Hotel;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
68689;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;;;;;;New_Build;;;Default
20853;Rent;Apartment;;;;;;;;;;;;;;;;Groundfloor;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
49766;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;;;;;;New_Build;;;Default
58640;"Buy,Buy_Auction,Compulsory_Auction";Agriculture_Forestry;;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
56225;"Buy,Buy_Auction";;;;;;;;;;;;;;;;;;;Investment;;;Default
95381;Rent;Parking;"Underground_Garage,Underground_Parking_Space";;;;;;;;;;;;;;;;;;;;Default
97990;"Buy,Buy_Auction,Compulsory_Auction";Agriculture_Forestry;Winery;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
96110;Rent;House;Single_Family_House;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
82758;Rent;;;;;;;;;;;;;;Garden;;;;;;"New_Build,Stock,Flatsharing";;Default
34301;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;5;5;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
77395;Rent;House;;;;;;;;;;;;;Parking_Garage;;;;;;"New_Build,Stock";;Default
93685;Rent;Office;;;;;;;;;;;;;;;;;;;;;Default
26897;Rent;;;;;;;;;;;;;;;;;;;;;;Default
94332;Rent;Trading;Store;;;;;;;;;;;;;;;;;;;;Default
32209;"Buy,Buy_Auction,Compulsory_Auction";;;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
28734;Rent;Apartment;;;;;;;;;;;;;Reduce_Mobility_Access;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
69410;Rent;Gastronomy_Hotel;Club_Discotheque;;;;;;;;;;;;;;;;;;;;Default
77584;"Buy,Buy_Auction,Compulsory_Auction";House;Town_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
85456;Rent;House;Multi_Family_House;;;;;;;;;;;;;;;;;;"New_Build,Stock";;Default
86141;Rent;Apartment;;;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
77526;Rent;Apartment;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
57439;"Buy,Buy_Auction,Compulsory_Auction";Apartment;Multi_Storey;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
72171;"Buy,Buy_Auction,Compulsory_Auction";House;Single_Family_House;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
78418;Rent;Apartment;;;5;5;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
46891;Rent;Apartment;Terrace;;;;;;;;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
22595;Rent;Apartment;;;;;;;0;600;;;;;;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
50191;"Buy,Buy_Auction,Compulsory_Auction";Plot;Commercial;;;;;;;;;;;;;;;;;;"Investment,Resale";;Default
74434;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
72243;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Investment,Projected,Resale";;Default
42649;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;Parking_Garage;;;;;;"New_Build,Investment,Projected,Resale";;Default
20469;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;Swimming_Pool;;;;;;"New_Build,Investment,Projected,Resale";;Default
41195;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;2;2;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
99822;Rent;Apartment;;;;;;;;;;;;;;;Roof_Storey;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
91880;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
60249;"Buy,Buy_Auction,Compulsory_Auction";House;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Investment,Projected,Resale";;Default
24867;"Buy,Buy_Auction,Compulsory_Auction";Apartment;"Loft,Loft_Atelier";;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
62966;"Buy,Buy_Auction,Compulsory_Auction";House;Villa;;;;;;;;;;;;;;;;;;"New_Build,Investment,Projected,Resale";;Default
60487;Rent;Office;Atelier;;;;;;;;;;;;;;;;;;;;Default
31942;"Buy,Buy_Auction,Compulsory_Auction";Apartment;;;;;;;;;;;;;;;Groundfloor;;;;"New_Build,Investment,Projected,Resale";;Default
69875;Rent;Storage_Production;Warehouse_Hall;;;;;;;;;;;;;;;;;;;;Default
23772;Rent;Apartment;;;;;;;;;;;;;Garden;;;;;;"New_Build,Stock,Flatsharing,Swap_Apartment";;Default
